time_elapsed,explained_variance,clip_range,value_loss,entropy,fps,total_timesteps,iterations,std,ep_reward_mean,policy_loss
239.0,nan,nan,nan,nan,68.0,16384.0,1.0,nan,0.3638559330108417,nan
519.0,-268.4022827148437,0.1,2.5160475,-0.5873931,63.0,32768.0,2.0,0.13452491,0.3754106329100312,0.0078571215
802.0,-0.1406508684158325,0.1,17.481222,-0.5851823,61.0,49152.0,3.0,0.13481514,0.3809102182310735,0.01941395
1082.0,0.510265976190567,0.1,21.220776,-0.5870198,60.0,65536.0,4.0,0.13456762,0.3795614126906501,0.01004245
1327.0,0.6604552567005157,0.1,23.656155,-0.5877086,61.0,81920.0,5.0,0.13447225,0.3831430208971499,0.019335268
1615.0,0.7585890740156174,0.1,21.391201,-0.58573306,60.0,98304.0,6.0,0.13473102,0.3863330746098781,0.00957437
1869.0,0.801323264837265,0.1,25.37153,-0.58329344,61.0,114688.0,7.0,0.13506119,0.3859215764092962,0.028703872
2137.0,0.8605276793241501,0.1,11.786923,-0.58149636,61.0,131072.0,8.0,0.13530716,0.3773023690988565,0.02593589
2421.0,0.8928291350603104,0.1,28.255407,-0.5819191,60.0,147456.0,9.0,0.13525298,0.3768905679450107,0.028629888
2703.0,0.896344892680645,0.1,13.030102,-0.578827,60.0,163840.0,10.0,0.13567385,0.3767966252646804,0.020095985
2975.0,0.9187910929322244,0.1,19.707598,-0.57667524,60.0,180224.0,11.0,0.13596097,0.3760390632667838,0.024074638
3236.0,0.9368764534592628,0.1,9.538028,-0.5752446,60.0,196608.0,12.0,0.1361527,0.3703579336212504,0.01866788
3532.0,0.944905325770378,0.1,19.231024,-0.57100755,60.0,212992.0,13.0,0.13672161,0.3679394561818767,0.014610488
3758.0,0.9417235367000104,0.1,14.183947,-0.5675599,61.0,229376.0,14.0,0.1372086,0.366186771424418,0.012535359
4046.0,0.9551959559321404,0.1,19.27001,-0.56763536,60.0,245760.0,15.0,0.13719712,0.3683804060513155,0.026445616
4369.0,0.9491667486727238,0.1,26.023773,-0.56388175,59.0,262144.0,16.0,0.1377131,0.3647781511071331,0.01256175
4651.0,0.9449781849980354,0.1,7.92663,-0.5617238,59.0,278528.0,17.0,0.13802227,0.3635678945712141,0.031216301
4909.0,0.955508016049862,0.1,11.900335,-0.5587803,60.0,294912.0,18.0,0.13844211,0.3740508184278474,0.018755563
5201.0,0.9598857015371324,0.1,11.88962,-0.55442154,59.0,311296.0,19.0,0.1390381,0.3717220643958801,0.026920052
5434.0,0.9514963403344154,0.1,9.285196,-0.5501707,60.0,327680.0,20.0,0.13963744,0.3688187128279197,0.048255906
5740.0,0.9625835977494716,0.1,8.566826,-0.5454073,59.0,344064.0,21.0,0.14029065,0.3683854404234081,-0.0004212507
6033.0,0.9518121108412744,0.1,11.26153,-0.54128534,59.0,360448.0,22.0,0.14086525,0.3766563270878201,0.02245706
6249.0,0.9565153755247592,0.1,28.678581,-0.5391429,60.0,376832.0,23.0,0.1411505,0.3738623726391361,0.026803024
6526.0,0.9624581262469292,0.1,10.9236,-0.53729594,60.0,393216.0,24.0,0.14141174,0.3744342744529105,0.0128283985
